x,y,z,r,g,b
-0.028535988,0.01572875,0.50908476,70.0,60.0,93.0
-0.028535988,0.018312758,0.50908476,72.0,62.0,94.0
-0.028535988,0.020896768,0.50908476,71.0,59.0,101.0
-0.028535988,0.023480777,0.50908476,74.0,56.0,98.0
-0.028535988,0.026064787,0.50908476,67.0,61.0,92.0
-0.028535988,0.028648796,0.50908476,70.0,59.0,96.0
-0.028535988,0.031232806,0.50908476,70.0,55.0,99.0
-0.028580675,0.03386977,0.509882,75.0,60.0,99.0
-0.028535988,0.036400825,0.50908476,77.0,60.0,103.0
-0.028580675,0.03904588,0.509882,66.0,54.0,101.0
-0.028535988,0.04156884,0.50908476,77.0,47.0,98.0
-0.028580675,0.044221994,0.509882,64.0,47.0,86.0
-0.028580675,0.04681005,0.509882,80.0,62.0,89.0
-0.028535988,0.049320873,0.50908476,83.0,67.0,90.0
-0.028580675,0.05198616,0.509882,84.0,78.0,92.0
-0.028580675,0.054574218,0.509882,88.0,73.0,106.0
-0.028535988,0.0570729,0.50908476,85.0,71.0,93.0
-0.028580675,0.05975033,0.509882,83.0,70.0,108.0
-0.028625498,0.062436152,0.5106816,82.0,65.0,93.0
-0.028715573,0.06523289,0.5122886,80.0,73.0,91.0
-0.028670466,0.067726605,0.51148385,85.0,68.0,125.0
-0.025844561,-0.053787228,0.50670815,148.0,128.0,133.0
-0.025844561,-0.051215284,0.50670815,121.0,94.0,113.0
-0.025884844,-0.048719153,0.5074979,111.0,88.0,107.0
-0.025925249,-0.046215225,0.5082901,110.0,94.0,107.0
-0.02596578,-0.04370347,0.50908476,94.0,96.0,105.0
-0.025925249,-0.041055273,0.5082901,84.0,66.0,99.0
-0.025884844,-0.03841533,0.5074979,79.0,68.0,107.0
-0.025925249,-0.03589532,0.5082901,86.0,78.0,111.0
-0.025925249,-0.033315346,0.5082901,84.0,75.0,102.0
-0.025925249,-0.030735372,0.5082901,85.0,76.0,100.0
-0.026006442,-0.028243572,0.509882,83.0,70.0,107.0
-0.026006442,-0.025655515,0.509882,81.0,71.0,92.0
-0.026006442,-0.02306746,0.509882,83.0,75.0,100.0
-0.026006442,-0.020479403,0.509882,82.0,74.0,92.0
-0.02596578,-0.017863374,0.50908476,83.0,73.0,99.0
-0.026006442,-0.015303292,0.509882,79.0,64.0,107.0
-0.025884844,-0.012655783,0.5074979,76.0,60.0,100.0
-0.025925249,-0.010095563,0.5082901,79.0,70.0,114.0
-0.02596578,-0.0075273365,0.50908476,84.0,68.0,106.0
-0.026006442,-0.004951068,0.509882,86.0,74.0,103.0
-0.02596578,-0.0023593176,0.50908476,90.0,73.0,100.0
-0.02596578,2.246919E-4,0.50908476,88.0,76.0,112.0
-0.025925249,0.0028043173,0.5082901,89.0,79.0,125.0
-0.025925249,0.0053842934,0.5082901,87.0,76.0,113.0
-0.025925249,0.007964269,0.5082901,82.0,78.0,110.0
-0.025844561,0.010511428,0.50670815,79.0,72.0,116.0
-0.025844561,0.013083374,0.50670815,80.0,64.0,99.0
-0.02596578,0.01572875,0.50908476,79.0,70.0,92.0
