x,y,z,r,g,b
-0.04335264,-0.016005035,0.53326297,136.0,101.0,121.0
-0.04335264,-0.010591569,0.53326297,140.0,108.0,128.0
-0.04335264,-0.007884836,0.53326297,133.0,99.0,130.0
-0.04335264,-0.0051781028,0.53326297,130.0,98.0,124.0
-0.043495104,-0.002479491,0.53501534,127.0,94.0,120.0
-0.043423757,2.357494E-4,0.5341377,132.0,97.0,109.0
-0.04335264,0.0029420964,0.53326297,136.0,100.0,126.0
-0.04335264,0.0056488295,0.53326297,136.0,105.0,125.0
-0.04335264,0.008355563,0.53326297,137.0,107.0,122.0
-0.043495104,0.0110986475,0.53501534,136.0,104.0,106.0
-0.043495104,0.013814275,0.53501534,136.0,101.0,118.0
-0.043495104,0.016529903,0.53501534,137.0,99.0,120.0
-0.043782864,0.019372858,0.53855497,139.0,100.0,122.0
-0.043710567,0.022069948,0.53766567,138.0,104.0,120.0
-0.043638512,0.04110564,0.53677934,129.0,99.0,124.0
-0.04356669,0.04375808,0.5358959,113.0,99.0,119.0
-0.043638512,0.0465548,0.53677934,128.0,102.0,126.0
-0.043782864,0.049442396,0.53855497,125.0,93.0,118.0
-0.043928172,0.05234915,0.54034233,124.0,89.0,106.0
-0.04400119,0.055183392,0.5412405,118.0,90.0,104.0
-0.04400119,0.05793062,0.5412405,118.0,83.0,98.0
-0.043928172,0.06057715,0.54034233,106.0,82.0,104.0
-0.04400119,0.06342507,0.5412405,99.0,79.0,97.0
-0.043928172,0.06606248,0.54034233,108.0,76.0,92.0
-0.04026472,-0.053374827,0.528074,145.0,110.0,154.0
-0.040134538,-0.050530534,0.5263667,141.0,121.0,135.0
-0.040134538,-0.047858804,0.5263667,129.0,99.0,120.0
-0.040134538,-0.045187075,0.5263667,131.0,95.0,115.0
-0.04026472,-0.039972853,0.528074,129.0,100.0,119.0
-0.040199522,-0.037232075,0.527219,134.0,111.0,128.0
-0.04033012,-0.034668285,0.5289318,139.0,120.0,134.0
-0.040199522,-0.031879965,0.527219,141.0,135.0,190.0
-0.040199522,-0.02920391,0.527219,141.0,128.0,188.0
-0.040199522,-0.026527856,0.527219,140.0,133.0,197.0
-0.040199522,-0.0238518,0.527219,140.0,125.0,175.0
-0.04033012,-0.021244539,0.5289318,144.0,166.0,213.0
-0.040134538,-0.018469784,0.5263667,143.0,143.0,198.0
-0.04033012,-0.0024512974,0.5289318,128.0,99.0,113.0
-0.040395744,2.3383152E-4,0.5297924,125.0,97.0,115.0
-0.040395744,0.002922949,0.5297924,124.0,97.0,138.0
-0.040461574,0.005621212,0.5306558,126.0,94.0,120.0
-0.040527623,0.008328284,0.53152204,126.0,88.0,111.0
-0.040593885,0.011044209,0.5323911,125.0,92.0,104.0
-0.040660366,0.013769029,0.53326297,124.0,97.0,103.0
-0.040593885,0.016448824,0.5323911,126.0,93.0,107.0
-0.040727064,0.04090335,0.5341377,133.0,99.0,123.0
-0.040593885,0.0434719,0.5323911,132.0,99.0,121.0
-0.040593885,0.046174206,0.5323911,122.0,101.0,125.0
-0.040593885,0.048876513,0.5323911,127.0,97.0,120.0
-0.040660366,0.05166329,0.53326297,121.0,95.0,117.0
-0.040461574,0.054104205,0.5306558,129.0,92.0,113.0
-0.040727064,0.057170387,0.5341377,120.0,90.0,111.0
-0.040727064,0.05988156,0.5341377,109.0,76.0,110.0
-0.040727064,0.06259273,0.5341377,103.0,75.0,101.0
-0.04086112,0.065518856,0.5358959,105.0,73.0,85.0
-0.04079398,0.06812683,0.53501534,102.0,68.0,74.0
-0.037117075,-0.042106945,0.52131045,177.0,153.0,160.0
-0.037236307,-0.03958764,0.52298504,178.0,173.0,199.0
-0.037296206,-0.03699249,0.52382636,168.0,160.0,204.0
-0.037416596,-0.03444448,0.5255172,160.0,158.0,207.0
-0.037416596,-0.03177706,0.5255172,170.0,163.0,209.0
-0.037416596,-0.029109646,0.5255172,175.0,165.0,226.0
-0.037356302,-0.02639962,0.5246704,165.0,175.0,220.0
-0.037236307,-0.023660254,0.52298504,154.0,155.0,211.0
-0.037296206,-0.02103948,0.52382636,148.0,134.0,173.0
-0.037117075,-0.018292364,0.52131045,138.0,129.0,159.0
-0.037296206,-0.013062975,0.52382636,141.0,120.0,156.0
-0.03753776,2.326957E-4,0.527219,130.0,92.0,115.0
-0.03753776,0.0055848057,0.527219,121.0,91.0,109.0
-0.037356302,0.008220928,0.5246704,118.0,87.0,111.0
-0.037416596,0.010901614,0.5255172,110.0,90.0,96.0
-0.03747708,0.013590965,0.5263667,121.0,90.0,100.0
