x,y,z,r,g,b
-0.0,0.0,0.0,177.0,151.0,155.0
-0.0,0.0,0.0,177.0,151.0,155.0
-0.0,0.0,0.0,177.0,151.0,155.0
-0.0,0.0,0.0,177.0,151.0,155.0
-0.0,0.0,0.0,177.0,151.0,155.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,-0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
-0.0,0.0,0.0,182.0,152.0,175.0
